Strategy,Position,Trade Price,Trade Time,Eval Time,Status
N5ST2,105,44585.8,2023-10-17 09:20:13.184331,2023-10-17 09:20:13.184331,1.0
N15SMA1,-105,44427.65,2023-10-17 14:15:33.757787,2023-10-17 14:15:33.757787,-1.0
N15SMA2,-105,44523.05,2023-10-17 14:00:33.848330,2023-10-17 14:00:33.848330,-1.0
N15SMA3,-105,44457.3,2023-10-17 14:30:34.172307,2023-10-17 14:30:34.172307,-1.0
N15SMA4,-105,44457.3,2023-10-17 14:30:35.100292,2023-10-17 14:30:35.100292,-1.0
N15SMA5,105,44582.15,2023-10-17 11:30:34.309176,2023-10-17 11:30:34.309176,1.0
N15EMA1,-105,44427.65,2023-10-17 14:15:34.912768,2023-10-17 14:15:34.912768,-1.0
N15EMA3,-105,44457.3,2023-10-17 14:30:36.138277,2023-10-17 14:30:36.138277,-1.0
N15ST1,105,44603.95,2023-10-17 11:15:35.003890,2023-10-17 11:15:35.003890,1.0
N15ST2,105,44581.1,2023-10-17 10:00:36.564560,2023-10-17 10:00:36.564560,1.0
N15ST4,-105,,,,
N15ST5,-105,,,,
N15ST6,-105,,,,
N15ST7,105,44596.1,2023-10-17 11:00:38.195529,2023-10-17 11:00:38.195529,1.0
N30SMA1,105,44562.0,2023-10-17 10:15:58.678533,2023-10-17 10:15:58.678533,1.0
N30SMA2,105,44572.3,2023-10-17 11:45:58.753865,2023-10-17 11:45:58.753865,1.0
N30SMA3,-105,44427.65,2023-10-17 14:15:58.709354,2023-10-17 14:15:58.709354,-1.0
N30SMA4,-105,,,,
N30SMA5,105,44562.0,2023-10-17 10:16:00.036514,2023-10-17 10:16:00.036514,1.0
N30SMA6,105,44609.75,2023-10-17 13:15:59.092034,2023-10-17 13:15:59.092034,1.0
N30EMA1,-105,44427.65,2023-10-17 14:15:59.782335,2023-10-17 14:15:59.782335,-1.0
N30EMA2,-105,,,,
N30EMA3,-105,44540.0,2023-10-17 13:45:59.418933,2023-10-17 13:45:59.418933,-1.0
N30EMA4,-105,44540.0,2023-10-17 13:46:00.174946,2023-10-17 13:46:00.174946,-1.0
N30EMA5,-105,44540.0,2023-10-17 13:46:00.885908,2023-10-17 13:46:00.885908,-1.0
N30EMA6,-105,44540.0,2023-10-17 13:46:01.690895,2023-10-17 13:46:01.690895,-1.0
N30ST1,-105,,,,
N30ST2,-105,,,,
N30ST3,-105,,,,
N30ST4,-105,,,,
N60SMA1,-105,,,,
N60SMA2,-105,,,,
N60SMA3,105,44597.05,2023-10-17 12:16:22.449383,2023-10-17 12:16:22.449383,1.0
N60SMA4,105,44609.75,2023-10-17 13:16:22.492640,2023-10-17 13:16:22.492640,1.0
N60SMA5,-105,,,,
N60SMA6,105,44597.05,2023-10-17 12:16:23.434361,2023-10-17 12:16:23.434361,1.0
N60EMA1,-105,44427.65,2023-10-17 14:16:22.842935,2023-10-17 14:16:22.842935,-1.0
N60EMA2,-105,,,,
N60EMA3,-105,,,,
N60EMA4,-105,44427.65,2023-10-17 14:16:23.711921,2023-10-17 14:16:23.711921,-1.0
N60EMA5,-105,44427.65,2023-10-17 14:16:24.336911,2023-10-17 14:16:24.336911,-1.0
N60EMA6,-105,44427.65,2023-10-17 14:16:24.952901,2023-10-17 14:16:24.952901,-1.0
N60ST1,-105,,,,
N60ST2,-105,,,,
N60ST3,105,44603.95,2023-10-17 11:16:24.477026,2023-10-17 11:16:24.477026,1.0
N60ST4,-105,,,,
N60ST5,-105,,,,
NDSMA1,-105,,,,
NDSMA2,-105,,,,
NDSMA3,-105,,,,
NDSMA4,-105,,,,
NDSMA5,-105,,,,
NDSMA6,-105,,,,
NDSMA7,-105,,,,
NDEMA1,-105,,,,
NDEMA2,-105,,,,
NDEMA3,-105,,,,
NDEMA4,-105,,,,
NDEMA5,-105,,,,
NDEMA6,-105,,,,
NDEMA7,-105,,,,
NDEMA8,-105,,,,
NDEMA9,-105,,,,
NDEMA10,-105,,,,
NDST1,-105,,,,
NDST2,-105,,,,
NDST3,-105,,,,
NDST4,-105,,,,
NDMACD1,-105,,,,
NDMACD2,-105,,,,
N60MACD1,105,44597.05,2023-10-17 12:16:26.912298,2023-10-17 12:16:26.912298,1.0
